15S_RRNA_2	15S_RRNA_2	15S_RRNA_2	entrez^yeast
21S_RRNA_3	21S_RRNA_3	21S_RRNA_3	entrez^yeast
AAC1	Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP\; phosphorylated\; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator	AAC1	entrez^yeast
AAC3	Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP\; expressed under anaerobic conditions\; similar to Pet9p and Aac1p\; has roles in maintenance of viability and in respiration	AAC3	entrez^yeast
AAD16	Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase\; mutational analysis has not yet revealed a physiological role	AAD16	entrez^yeast
AAD3	Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase\; mutational analysis has not yet revealed a physiological role	AAD3	entrez^yeast
AAD4	Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase, involved in the oxidative stress response\; expression induced in cells treated with the mycotoxin patulin	AAD4	entrez^yeast
AAD6	Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase, involved in the oxidative stress response\; expression induced in cells treated with the mycotoxin patulin	AAD6	entrez^yeast
AAH1	Adenine deaminase (adenine aminohydrolase), converts adenine to hypoxanthine\; involved in purine salvage\; transcriptionally regulated by nutrient levels and growth phase\; Aah1p degraded upon entry into quiescence via SCF and the proteasome	AAH1	entrez^yeast
AAP1	Subunit 8 of the F0 sector of mitochondrial inner membrane F1-F0 ATP synthase, encoded on the mitochondrial genome\; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase	AAP1	entrez^yeast
AAT1	AAT1	AAT1	entrez^yeast
ABM1	ABM1	ABM1	entrez^yeast
ABP1	ABP1	ABP1	entrez^yeast
ABP140	ABP140	ABP140	entrez^yeast
ABZ1	Para-aminobenzoate (PABA) synthase, has similarity to Escherichia coli PABA synthase components PabA and PabB\; required for the synthesis of para-aminobenzoic acid, an important intermediate for folate and ubiquinone Q biosynthesis	ABZ1	entrez^yeast
ABZ2	Aminodeoxychorismate lyase (4-amino-4-deoxychorismate lyase), catalyzes the third step in para-aminobenzoic acid biosynthesis\; involved in folic acid biosynthesis	ABZ2	entrez^yeast
ACA1	ACA1	ACA1	entrez^yeast
